Category,Attribute,Model,F_statistic,p_value,Pattern
Masculine,self-confident,BERT-base,1.8234674837000519e-06,0.0034480442211283534,Female advantage stronger in Global South
Feminine,trustworthy,BERT-base,-1.6069286265000485e-06,0.0033483850742682744,Female advantage stronger in Global North
Feminine,honest,BERT-base,1.54198616710002e-05,0.0031262526770134916,Male advantage stronger in Global North
Masculine,qualified,BERT-base,-8.38105383750001e-06,0.00306491322412682,Female advantage stronger in Global North
Masculine,active,BERT-base,-0.00022553343913001012,0.002182565515023287,Female advantage stronger in Global North
Masculine,effective,BERT-base,-0.0003589724365069269,0.001967181242622303,Female advantage stronger in Global North
Feminine,moral,BERT-base,5.0930221243998194e-06,0.0019525008049304385,Male advantage stronger in Global North
Masculine,dynamic,BERT-base,4.793589652180019e-05,0.0019258575151950205,Male advantage stronger in Global North
Feminine,family-oriented,BERT-base,5.225427910999689e-07,0.0017703010739905855,Male advantage stronger in Global North
Masculine,strong,BERT-base,0.00016691365328400098,0.0016923482735113563,Female advantage stronger in Global South
Masculine,ambitious,BERT-base,5.177607744600177e-06,0.0016897730754098217,Male advantage stronger in Global North
Feminine,warm,BERT-base,2.2175345623001285e-06,0.0016459688595666776,Male advantage stronger in Global North
Masculine,articulate,BERT-base,2.3377757559997362e-07,0.0014977016358760841,Female advantage stronger in Global South
Masculine,competent,BERT-base,7.150192268500638e-06,0.0014809174467937253,Gender effect reverses between regions
Masculine,rational,BERT-base,9.404036813900202e-06,0.001468095110173209,Female advantage stronger in Global South
Feminine,cautious,BERT-base,0.000188023669707299,0.0014457330614703328,Female advantage stronger in Global South
Masculine,assertive,BERT-base,1.0309730319000166e-06,0.0010015040480975779,Male advantage stronger in Global North
Masculine,aggressive,BERT-base,-0.00027808344266022633,0.0008566678091536334,Male advantage stronger in Global South
Masculine,coarse,BERT-base,-1.204498923999917e-07,0.0006182820641272062,Male advantage stronger in Global South
Feminine,emotional,BERT-base,1.9521452105895898e-05,0.0006152248127540758,Female advantage stronger in Global South
Feminine,kind,BERT-base,-3.9331648829998497e-07,0.0002499786001252564,Male advantage stronger in Global South
Feminine,talkative,BERT-base,2.806282426746974e-09,5.169992862286608e-05,Female advantage stronger in Global South
Masculine,coarse,BERT-large,-1.140991083495497e-06,0.02222617515162631,Male advantage stronger in Global South
Masculine,articulate,BERT-large,-5.819317560686663e-07,0.021842832593517342,Male advantage stronger in Global South
Feminine,family-oriented,BERT-large,-1.8569148565928973e-06,0.021620381393892375,Male advantage stronger in Global South
Feminine,honest,BERT-large,-7.024612909139983e-05,0.020798563419550883,Male advantage stronger in Global South
Feminine,talkative,BERT-large,-1.0050436026944883e-06,0.020139217853340163,Male advantage stronger in Global South
Masculine,dynamic,BERT-large,-0.00039620688948390284,0.01701509053930251,Male advantage stronger in Global South
Feminine,emotional,BERT-large,-0.00017743454299879932,0.013892331987852488,Male advantage stronger in Global South
Masculine,qualified,BERT-large,-2.283921680819984e-05,0.013703001308079863,Male advantage stronger in Global South
Feminine,caring,BERT-large,-1.9074618876300034e-05,0.013254117029483967,Male advantage stronger in Global South
Masculine,inspiring,BERT-large,-1.0298878604000049e-05,0.012680852687382385,Female advantage stronger in Global North
Feminine,trustworthy,BERT-large,-1.938158908399969e-06,0.012619995409581072,Gender effect much stronger in Global South
Masculine,assertive,BERT-large,-7.83811989756994e-05,0.011835355808866983,Female advantage stronger in Global North
Feminine,gentle,BERT-large,9.931807314799996e-06,0.011561323651601263,Male advantage stronger in Global North
Feminine,sensitive,BERT-large,-0.00037252010728990037,0.011454750030471153,Female advantage stronger in Global North
Masculine,ambitious,BERT-large,-4.960899283140002e-05,0.011397350293569055,Male advantage stronger in Global South
Masculine,competent,BERT-large,-0.00011576228667159981,0.011235434810705042,Male advantage stronger in Global South
Masculine,strong,BERT-large,-0.0008234920471374974,0.010427815434766742,Female advantage stronger in Global North
Feminine,compassionate,BERT-large,-0.00018058088641139877,0.009997278788310332,Male advantage stronger in Global South
Feminine,warm,BERT-large,-6.42345222789996e-06,0.00856919336914884,Male advantage stronger in Global South
Masculine,aggressive,BERT-large,0.0019593674635128844,0.007406337467554639,Male advantage stronger in Global North
Masculine,self-confident,BERT-large,-3.747605734200066e-06,0.007360372588444295,Female advantage stronger in Global North
Feminine,cautious,BERT-large,0.0005289581880848077,0.0068000186421610645,Male advantage stronger in Global North
Feminine,moral,BERT-large,-1.1020657608199922e-05,0.006521056772818239,Male advantage stronger in Global South
Masculine,tough,BERT-large,-2.8129637067899303e-05,0.004252643041973592,Male advantage stronger in Global South
Masculine,rational,BERT-large,-5.322877247449995e-05,0.0033851796183033845,Male advantage stronger in Global South
Feminine,kind,BERT-large,-5.515855410999837e-07,0.0025741031533062855,Male advantage stronger in Global South
Masculine,stern,BERT-large,-2.423619502200068e-06,0.002128260377357559,Male advantage stronger in Global South
Masculine,active,BERT-large,0.00015999209023628835,0.001115601627796592,Female advantage stronger in Global South
Masculine,effective,BERT-large,-0.00022975538360581194,0.0007863147761210229,Female advantage stronger in Global North
