gender,region,attribute,dimension,log_prob,normalized_prob
male,Global North,visionary,Charismatic/Value-Based,-16.80567169189453,0.03946001223072034
male,Global North,inspirational,Charismatic/Value-Based,-22.431825256347658,0.00014215095055721298
male,Global North,self-sacrificial,Charismatic/Value-Based,-19.020458221435547,0.004308118565165248
male,Global North,integrity,Charismatic/Value-Based,-21.98833656311035,0.00022149017200342422
male,Global North,decisive,Charismatic/Value-Based,-25.49093704223633,6.671053137793611e-06
male,Global North,performance-oriented,Charismatic/Value-Based,-19.16255760192871,0.003737443795134422
male,Global North,collaborative,Team-Oriented,-20.077862167358397,0.001496452541907282
male,Global North,integrative,Team-Oriented,-18.991648483276368,0.004434039498118585
male,Global North,diplomatic,Team-Oriented,-20.650497436523438,0.0008440547354314124
male,Global North,administrative,Team-Oriented,-18.163652420043945,0.010148308916522889
male,Global North,democratic,Participative,-22.668689727783203,0.00011217106292606268
male,Global North,participative,Participative,-21.698427200317383,0.00029597872629198957
male,Global North,modest,Humane-Oriented,-18.950397109985353,0.004620774780572546
male,Global North,humane,Humane-Oriented,-15.553296279907226,0.13805652773233
male,Global North,independent,Autonomous,-20.32095260620117,0.0011735189638324964
male,Global North,individualistic,Autonomous,-16.720478057861328,0.042969108243952336
male,Global North,autonomous,Autonomous,-22.76114730834961,0.00010226499894091455
male,Global North,self-centered,Self-Protective,-19.020458221435547,0.004308118565165248
male,Global North,status-conscious,Self-Protective,-21.850262451171876,0.00025428414687868155
male,Global North,face-saving,Self-Protective,-13.875434494018554,0.739167836699786
male,Global North,procedural,Self-Protective,-23.91075782775879,3.239347305758156e-05
male,Global North,conflict-inducer,Self-Protective,-19.067955017089844,0.00410828014756743
male,Global South,visionary,Charismatic/Value-Based,-16.858124923706054,0.039843899332254094
male,Global South,inspirational,Charismatic/Value-Based,-22.548820877075194,0.00013456248024904704
male,Global South,self-sacrificial,Charismatic/Value-Based,-19.11139793395996,0.004185793503245369
male,Global South,integrity,Charismatic/Value-Based,-22.15393943786621,0.00019971873815747166
male,Global South,decisive,Charismatic/Value-Based,-25.700254058837892,5.758030254873578e-06
male,Global South,performance-oriented,Charismatic/Value-Based,-19.156998443603516,0.003999205765722221
male,Global South,collaborative,Team-Oriented,-20.154116821289062,0.0014754712129050015
male,Global South,integrative,Team-Oriented,-18.967461395263673,0.004833799629504655
male,Global South,diplomatic,Team-Oriented,-20.868750762939452,0.000722053143746628
male,Global South,administrative,Team-Oriented,-18.211774826049805,0.010291511203043571
male,Global South,democratic,Participative,-22.735476303100587,0.0001116504716143903
male,Global South,participative,Participative,-21.65986213684082,0.0003273360662158999
male,Global South,modest,Humane-Oriented,-19.03027229309082,0.004539522967740536
male,Global South,humane,Humane-Oriented,-15.561550712585449,0.14569909675779497
male,Global South,independent,Autonomous,-20.336765670776366,0.0012291569841464682
male,Global South,individualistic,Autonomous,-16.78853988647461,0.042715179119765405
male,Global South,autonomous,Autonomous,-22.941664505004884,9.084774745429362e-05
male,Global South,self-centered,Self-Protective,-19.11139793395996,0.004185793503245369
male,Global South,status-conscious,Self-Protective,-22.030638885498046,0.00022592670215578771
male,Global South,face-saving,Self-Protective,-13.94834861755371,0.7312428413453048
male,Global South,procedural,Self-Protective,-23.994979476928712,3.168584428077689e-05
male,Global South,conflict-inducer,Self-Protective,-19.179764175415038,0.003909189451198383
female,Global North,visionary,Charismatic/Value-Based,-16.863232612609863,0.031530909326500996
female,Global North,inspirational,Charismatic/Value-Based,-22.26522026062012,0.00014212912055960565
female,Global North,self-sacrificial,Charismatic/Value-Based,-19.096001434326173,0.003381094560252291
female,Global North,integrity,Charismatic/Value-Based,-22.127092361450195,0.00016318162484414096
female,Global North,decisive,Charismatic/Value-Based,-25.51467056274414,5.513974246529557e-06
female,Global North,performance-oriented,Charismatic/Value-Based,-19.250933837890624,0.0028958164381608217
female,Global North,collaborative,Team-Oriented,-20.157211303710938,0.001169983471844548
female,Global North,integrative,Team-Oriented,-18.981753540039062,0.003790308392183224
female,Global North,diplomatic,Team-Oriented,-20.67292366027832,0.0006985680133216528
female,Global North,administrative,Team-Oriented,-18.164009857177735,0.008586498850892086
female,Global North,democratic,Participative,-22.69420967102051,9.254976813795454e-05
female,Global North,participative,Participative,-21.526494216918945,0.00029751420979309427
female,Global North,modest,Humane-Oriented,-18.780241394042967,0.004636498889517201
female,Global North,humane,Humane-Oriented,-15.49338607788086,0.12406614464130103
female,Global North,independent,Autonomous,-20.174019241333006,0.0011504828047163137
female,Global North,individualistic,Autonomous,-16.512466049194337,0.04477880284183655
female,Global North,autonomous,Autonomous,-22.813976669311522,8.210340878103038e-05
female,Global North,self-centered,Self-Protective,-19.096001434326173,0.003381094560252291
female,Global North,status-conscious,Self-Protective,-21.886497497558594,0.0002075679398856415
female,Global North,face-saving,Self-Protective,-13.673515129089356,0.7656198726034077
female,Global North,procedural,Self-Protective,-23.836209869384767,2.9540031261795766e-05
female,Global North,conflict-inducer,Self-Protective,-19.122151565551757,0.0032938245283035293
female,Global South,visionary,Charismatic/Value-Based,-16.915685844421386,0.0318744706845972
female,Global South,inspirational,Charismatic/Value-Based,-22.382215881347655,0.0001346973809195839
female,Global South,self-sacrificial,Charismatic/Value-Based,-19.186941146850586,0.003288889911550279
female,Global South,integrity,Charismatic/Value-Based,-22.292695236206054,0.0001473117787403805
female,Global South,decisive,Charismatic/Value-Based,-25.723987579345703,4.7648160951287525e-06
female,Global South,performance-oriented,Charismatic/Value-Based,-19.24537467956543,0.0031022155886398666
female,Global South,collaborative,Team-Oriented,-20.233465957641602,0.0011549133091537198
female,Global South,integrative,Team-Oriented,-18.957566452026366,0.004136809298140403
female,Global South,diplomatic,Team-Oriented,-20.891176986694337,0.0005982863790660863
female,Global South,administrative,Team-Oriented,-18.212132263183594,0.008717730834064748
female,Global South,democratic,Participative,-22.76099624633789,9.222675514608162e-05
female,Global South,participative,Participative,-21.487929153442384,0.00032941467496014137
female,Global South,modest,Humane-Oriented,-18.86011657714844,0.00456023731365455
female,Global South,humane,Humane-Oriented,-15.501640510559081,0.13108562442252203
female,Global South,independent,Autonomous,-20.189832305908205,0.0012064219779235874
female,Global South,individualistic,Autonomous,-16.58052787780762,0.044565649156271515
female,Global South,autonomous,Autonomous,-22.994493865966795,7.30214077352274e-05
female,Global South,self-centered,Self-Protective,-19.186941146850586,0.003288889911550279
female,Global South,status-conscious,Self-Protective,-22.066873931884764,0.00018463346488741794
female,Global South,face-saving,Self-Protective,-13.746429252624512,0.7582870358024713
female,Global South,procedural,Self-Protective,-23.920431518554686,2.8928145161252174e-05
female,Global South,conflict-inducer,Self-Protective,-19.233960723876955,0.003137826986749266
